,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,smoothing_end_date,version,shared
0,2110,107,3689549,IS0028108M,107A-800VU-COA-40,YP04,1,04/02/2021,10/02/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702008,15/02/2021,20.71,4.0,prod,0.0,2,2021-02-10,,,True,,2,True
1,2110,107,3685523,IS0015667M,107A-DE-820-40,YP04,1,06/01/2021,16/02/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT MMEf RIMP,A110702008,15/02/2021,765.12,22.0,prod,1.0,1,2021-02-16,,,True,,2,True
2,2110,107,3697583,IS0028165M,107B-800VU-COA-40,YP04,1,12/02/2021,18/02/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702001,03/03/2021,20.71,4.0,prod,0.0,2,2021-02-18,,,True,,2,True
3,2110,107,3691596,IS0015730M,107B-DE-820-40,YP04,1,02/02/2021,12/03/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702001,01/03/2021,765.12,22.0,prod,0.0,1,2021-03-12,,,True,,2,True
4,2110,107,3700584,IS0015730M,107B-DE-820-40,YP04,1,04/02/2021,16/03/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210701970,10/03/2021,765.12,22.0,prod,0.0,1,2021-03-16,,,True,,2,True
5,2110,107,3701570,IS0028165M,107B-800VU-COA-40,YP04,1,15/03/2021,22/03/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210701970,10/03/2021,20.71,4.0,prod,0.0,2,2021-03-22,,,True,,2,True
6,2110,107,3697577,IS0015730M,107B-DE-820-40,YP04,1,16/02/2021,26/03/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702003,19/03/2021,765.12,22.0,prod,0.0,1,2021-03-26,,,True,,2,True
7,2110,107,3713842,IS0028165M,107B-800VU-COA-40,YP04,1,23/03/2021,30/03/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702003,29/03/2021,20.71,4.0,prod,0.0,2,2021-03-30,,,True,,2,True
8,2110,107,3713841,IS0028108M,107A-800VU-COA-40,YP04,1,07/04/2021,14/04/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702011,19/04/2021,20.71,4.0,prod,0.0,2,2021-04-14,,,True,,2,True
9,2110,107,3703052,IS0015730M,107B-DE-820-40,YP04,1,08/03/2021,15/04/2021,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702002,08/04/2021,765.12,22.0,prod,0.0,1,2021-04-15,,,True,,2,True
10,2110,107,3714427,IS0028165M,107B-800VU-COA-40,YP04,1,09/04/2021,20/04/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702002,12/04/2021,20.71,4.0,prod,0.0,2,2021-04-20,,,True,,2,True
11,2110,107,3722216,IS0015667M,107A-DE-820-40,YP04,1,19/03/2021,28/04/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A110702011,19/04/2021,765.12,22.0,prod,1.0,1,2021-04-28,,,True,,2,True
12,2110,107,3746964,IS0015730M,107B-DE-820-40,YP04,1,22/04/2021,18/05/2021,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A210701995,29/04/2021,765.12,22.0,prod,0.0,1,2021-05-18,,,True,,2,True
13,2110,107,3746962,IS0028165M,107B-800VU-COA-40,YP04,1,06/05/2021,18/05/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A210701995,29/04/2021,20.71,4.0,prod,0.0,2,2021-05-18,,,True,,2,True
14,2110,107,3737360,IS0028165M,107B-800VU-COA-40,YP04,1,12/04/2021,25/05/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702004,17/05/2021,20.71,4.0,prod,0.0,2,2021-05-25,,,True,,2,True
15,2110,107,3729660,IS0015730M,107B-DE-820-40,YP04,1,12/04/2021,25/05/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702004,17/05/2021,765.12,22.0,prod,0.0,1,2021-05-25,,,True,,2,True
16,2110,107,3737354,IS0015730M,107B-DE-820-40,YP04,1,26/04/2021,08/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702006,24/05/2021,765.12,22.0,prod,0.0,1,2021-06-08,,,True,,2,True
17,2110,107,3737361,IS0028165M,107B-800VU-COA-40,YP04,1,26/04/2021,08/06/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702006,24/05/2021,20.71,4.0,prod,0.0,2,2021-06-08,,,True,,2,True
18,2110,107,3766142,IS0028108M,107A-800VU-COA-40,YP04,1,08/06/2021,15/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702007,07/06/2021,20.71,4.0,prod,0.0,2,2021-06-15,,,True,,2,True
19,2110,107,3740787,IS0015667M,107A-DE-820-40,YP04,1,17/05/2021,24/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702007,07/06/2021,765.12,22.0,prod,1.0,1,2021-06-24,,,True,,2,True
20,2110,107,3766143,IS0028165M,107B-800VU-COA-40,YP04,1,21/06/2021,25/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702000,30/06/2021,20.71,4.0,prod,0.0,2,2021-06-25,,,True,,2,True
21,2110,107,3757519,IS0015730M,107B-DE-820-40,YP04,1,01/06/2021,08/07/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702000,30/06/2021,765.12,22.0,prod,0.0,1,2021-07-08,,,True,,2,True
22,2110,107,3772548,IS0028165M,107B-800VU-COA-40,YP04,1,01/07/2021,08/07/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210701999,14/07/2021,20.71,4.0,prod,0.0,2,2021-07-08,,,True,,2,True
23,2110,107,3772543,IS0015730M,107B-DE-820-40,YP04,1,08/06/2021,16/07/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210701999,14/07/2021,765.12,22.0,prod,0.0,1,2021-07-16,,,True,,2,True
24,2110,107,3772509,IS0015667M,107A-DE-820-40,YP04,1,16/06/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702012,13/08/2021,765.12,22.0,prod,1.0,1,2021-08-20,,,True,,2,True
25,2110,107,3772547,IS0028108M,107A-800VU-COA-40,YP04,1,17/08/2021,22/08/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702012,11/10/2021,20.71,4.0,prod,0.0,2,2021-08-22,,,True,,2,True
26,2110,107,3806010,IS0015730M,107B-DE-820-40,YP04,1,23/08/2021,14/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702009,13/09/2021,765.12,22.0,prod,0.0,1,2021-09-14,,,True,,2,True
27,2110,107,3801724,IS0015730M,107B-DE-820-40,YP04,1,12/08/2021,17/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702010,02/09/2021,765.12,22.0,prod,0.0,1,2021-09-17,,,True,,2,True
28,2110,107,3801687,IS0028165M,107B-800VU-COA-40,YP04,1,13/09/2021,17/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702010,02/09/2021,20.71,4.0,prod,0.0,2,2021-09-17,,,True,,2,True
29,2110,107,3806023,IS0028165M,107B-800VU-COA-40,YP04,1,14/09/2021,22/09/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702009,13/09/2021,20.71,4.0,prod,0.0,2,2021-09-22,,,True,,2,True
30,2110,107,3826592,IS0028165M,107B-800VU-COA-40,YP04,1,13/10/2021,13/10/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702014,15/10/2021,20.71,4.0,prod,0.0,2,2021-10-13,,,True,,2,True
31,2110,107,3823658,IS0028165M,107B-800VU-COA-40,YP04,1,09/10/2021,13/10/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702013,27/09/2021,20.71,4.0,prod,0.0,2,2021-10-13,,,True,,2,True
32,2110,107,3816047,IS0015730M,107B-DE-820-40,YP04,1,07/09/2021,13/10/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702013,27/09/2021,765.12,22.0,prod,0.0,1,2021-10-13,,,True,,2,True
33,2110,107,3823653,IS0015730M,107B-DE-820-40,YP04,1,24/09/2021,13/10/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702014,15/10/2021,765.12,22.0,prod,0.0,1,2021-10-13,,,True,,2,True
34,2110,107,3843317,IS0028108M,107A-800VU-COA-40,YP04,1,03/11/2021,08/11/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702015,08/11/2021,20.71,4.0,prod,0.0,2,2021-11-08,,,True,,2,True
35,2110,177,3851808,IS0014648M,177A-915LR,YP04,1,04/11/2021,08/11/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702010,04/11/2021,123.493315543289,18.0,prod,0.0,3,2021-11-08,,,True,,2,True
36,2110,107,3826588,IS0015667M,107A-DE-820-40,YP04,1,07/10/2021,15/11/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702015,08/11/2021,765.12,22.0,prod,1.0,1,2021-11-15,,,True,,2,True
37,2110,177,3852132,IS0014648M,177A-915LR,YP04,1,11/11/2021,22/11/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ARCO MMEf RIMP,A117702009,15/11/2021,123.493315543289,18.0,prod,0.0,3,2021-11-22,,,True,,2,True
