,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
22,1048165,2023-01-11 10:38:00.310930,2023-01-11 10:38:00.310930,Marwa,Marwa,False,,2023-01-11 10:38:00.310930,2023-01-11 10:38:00.310930,Marwa,15,105,2023-01-25,1,10.72,4444,officiel,25,4,143
23,1048166,2023-01-11 10:38:00.320910,2023-01-11 10:38:00.320910,Marwa,Marwa,False,,2023-01-11 10:38:00.320910,2023-01-11 10:38:00.320910,Marwa,15,105,2023-01-26,1,10.72,4445,officiel,25,4,143
24,1048167,2023-01-11 10:38:00.330944,2023-01-11 10:38:00.330944,Marwa,Marwa,False,,2023-01-11 10:38:00.330944,2023-01-11 10:38:00.330944,Marwa,15,105,2023-01-27,1,10.72,4446,officiel,25,4,143
25,1048168,2023-01-11 10:38:00.340764,2023-01-11 10:38:00.340764,Marwa,Marwa,False,,2023-01-11 10:38:00.340764,2023-01-11 10:38:00.340764,Marwa,15,105,2023-02-13,1,10.72,4688,officiel,25,4,143
26,1048169,2023-01-11 10:38:00.350580,2023-01-11 10:38:00.350580,Marwa,Marwa,False,,2023-01-11 10:38:00.350580,2023-01-11 10:38:00.350580,Marwa,15,105,2023-02-01,1,10.72,4449,officiel,25,4,143
27,1048170,2023-01-11 10:38:00.356082,2023-01-11 10:38:00.356082,Marwa,Marwa,False,,2023-01-11 10:38:00.356082,2023-01-11 10:38:00.356082,Marwa,15,105,2023-02-02,1,10.72,4450,officiel,25,4,143
28,1048171,2023-01-11 10:38:00.370793,2023-01-11 10:38:00.370793,Marwa,Marwa,False,,2023-01-11 10:38:00.370793,2023-01-11 10:38:00.370793,Marwa,15,105,2023-02-03,1,10.72,4451,officiel,25,4,143
29,1048172,2023-01-11 10:38:00.380628,2023-01-11 10:38:00.380628,Marwa,Marwa,False,,2023-01-11 10:38:00.380628,2023-01-11 10:38:00.380628,Marwa,15,105,2023-02-06,1,10.72,4452,officiel,25,4,143
30,1048173,2023-01-11 10:38:00.390786,2023-01-11 10:38:00.390786,Marwa,Marwa,False,,2023-01-11 10:38:00.390786,2023-01-11 10:38:00.390786,Marwa,15,105,2023-02-07,1,10.72,4453,officiel,25,4,143
31,1048174,2023-01-11 10:38:00.400579,2023-01-11 10:38:00.400579,Marwa,Marwa,False,,2023-01-11 10:38:00.400579,2023-01-11 10:38:00.400579,Marwa,15,105,2023-02-08,1,10.72,4454,officiel,25,4,143
32,1048175,2023-01-11 10:38:00.400579,2023-01-11 10:38:00.400579,Marwa,Marwa,False,,2023-01-11 10:38:00.400579,2023-01-11 10:38:00.400579,Marwa,15,105,2023-02-09,1,10.72,4455,officiel,25,4,143
