,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
10,,2110,107,980839367,IS0015730M,107B-DE-820-40,KD,1,20/12/2022,12/01/2023,X,18/01/2023,15.0,None,A210702047,,765.12,22.0,prod,0.0,1,2023-01-18,,,False,not_freezed,21101071NaT,
11,,2110,107,980839368,IS0015730M,107B-DE-820-40,KD,1,06/01/2023,24/01/2023,X,27/01/2023,15.0,None,A210702048,,765.12,22.0,prod,0.0,1,2023-01-27,,,False,not_freezed,21101071NaT,
12,,2110,107,980839369,IS0015730M,107B-DE-820-40,KD,1,18/01/2023,03/02/2023,X,07/02/2023,15.0,None,A210702049,,765.12,22.0,prod,0.0,1,2023-02-07,,,False,not_freezed,21101071NaT,
13,,2110,107,980839370,IS0015730M,107B-DE-820-40,KD,1,30/01/2023,15/02/2023,X,16/02/2023,15.0,None,A210702050,,765.12,22.0,prod,0.0,1,2023-02-16,,,False,not_freezed,21101071NaT,
14,,2110,107,980839371,IS0015730M,107B-DE-820-40,KD,1,09/02/2023,27/02/2023,X,28/02/2023,15.0,None,A210702051,,765.12,22.0,prod,0.0,1,2023-02-28,,,False,not_freezed,21101071NaT,
15,,2110,107,980839372,IS0015730M,107B-DE-820-40,KD,1,21/02/2023,09/03/2023,X,13/03/2023,15.0,None,A210702052,,765.12,22.0,prod,0.0,1,2023-03-13,,,False,not_freezed,21101071NaT,
16,,2110,107,980839373,IS0015730M,107B-DE-820-40,KD,1,03/03/2023,22/03/2023,X,24/03/2023,15.0,None,A210702053,,765.12,22.0,prod,0.0,1,2023-03-24,,,False,not_freezed,21101071NaT,
17,,2110,107,980839374,IS0015730M,107B-DE-820-40,KD,1,15/03/2023,03/04/2023,X,,nan,None,A210702054,,765.12,22.0,prod,0.0,1,2023-04-03,,,False,not_freezed,21101071NaT,
18,,2110,107,980839375,IS0015730M,107B-DE-820-40,KD,1,28/03/2023,13/04/2023,X,14/04/2023,15.0,None,A210702055,,765.12,22.0,prod,0.0,1,2023-04-14,,,False,not_freezed,21101071NaT,
19,,2110,107,980941384,IS0015730M,107B-DE-820-40,KD,1,04/04/2023,24/04/2023,None,,nan,None,A210702056,,765.12,22.0,prod,0.0,1,2023-04-24,,,False,not_freezed,21101071NaT,
