,index,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
39,95,,2110,107,3851893,IS0028165M,107B-800VU-COA-40,YP04,1,11/11/2021,29/11/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702016,25/11/2021,20.71,4.0,prod,0.0,2,2021-11-29,,,True,not_freezed,21101072NaT,
40,156,,2110,177,3855092,IS0014648M,177A-915LR,YP04,1,29/11/2021,30/11/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ARCO MMEf RIMP,A117702013,29/11/2021,123.493315543289,18.0,prod,0.0,3,2021-11-30,,,True,not_freezed,21101773NaT,
41,19,,2110,107,3854893,IS0015730M,107B-DE-820-40,YP04,1,02/12/2021,27/12/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702017,14/12/2021,765.12,22.0,prod,0.0,1,2021-12-27,,,True,not_freezed,21101071NaT,
42,96,,2110,107,3858770,IS0028165M,107B-800VU-COA-40,YP04,1,18/11/2021,27/12/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702017,14/12/2021,20.71,4.0,prod,0.0,2,2021-12-27,,,True,not_freezed,21101072NaT,
43,157,,2110,177,3862648,IS0014648M,177A-915LR,YP04,1,22/12/2021,03/01/2022,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702014,28/12/2021,123.493315543289,18.0,prod,0.0,3,2022-01-03,,,True,not_freezed,21101773NaT,
44,158,,2110,177,3870136,IS0014648M,177A-915LR,YP04,1,30/12/2021,03/01/2022,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702015,30/12/2021,123.493315543289,18.0,prod,0.0,3,2022-01-03,,,True,not_freezed,21101773NaT,
45,20,,2110,107,3862460,IS0015730M,107B-DE-820-40,YP04,1,24/12/2021,07/01/2022,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702018,11/01/2022,765.12,22.0,prod,0.0,1,2022-01-07,,,True,not_freezed,21101071NaT,
46,97,,2110,107,3869829,IS0028165M,107B-800VU-COA-40,YP04,1,24/12/2021,07/01/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702018,11/01/2022,20.71,4.0,prod,0.0,2,2022-01-07,,,True,not_freezed,21101072NaT,
47,159,,2110,177,3882967,IS0014648M,177A-915LR,YP04,1,17/01/2022,21/01/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702016,21/01/2022,123.493315543289,18.0,prod,0.0,3,2022-01-21,,,True,not_freezed,21101773NaT,
48,21,,2110,107,3869822,IS0015730M,107B-DE-820-40,YP04,1,13/01/2022,28/01/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702019,28/01/2022,765.12,22.0,prod,0.0,1,2022-01-28,,,True,not_freezed,21101071NaT,
49,98,,2110,107,3879386,IS0028165M,107B-800VU-COA-40,YP04,1,13/01/2022,28/01/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702019,28/01/2022,20.71,4.0,prod,0.0,2,2022-01-28,,,True,not_freezed,21101072NaT,
50,22,,2110,107,3883786,IS0015730M,107B-DE-820-40,YP04,1,26/01/2022,09/02/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702020,09/02/2022,765.12,22.0,prod,0.0,1,2022-02-09,,,True,not_freezed,21101071NaT,
51,99,,2110,107,3892575,IS0028165M,107B-800VU-COA-40,YP04,1,26/01/2022,09/02/2022,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702020,09/02/2022,20.71,4.0,prod,0.0,2,2022-02-09,,,True,not_freezed,21101072NaT,
52,160,,2110,177,3888657,IS0014648M,177A-915LR,YP04,1,11/02/2022,11/02/2022,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702017,14/02/2022,123.493315543289,18.0,prod,0.0,3,2022-02-11,,,True,not_freezed,21101773NaT,
53,161,,2110,177,6001371,IS0014648M,177A-915LR,YP04,1,25/02/2022,25/02/2022,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702018,28/02/2022,123.493315543289,18.0,prod,0.0,3,2022-02-25,,,True,not_freezed,21101773NaT,
54,23,,2110,107,3896140,IS0015730M,107B-DE-820-40,YP04,1,11/02/2022,25/02/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702021,25/02/2022,765.12,22.0,prod,0.0,1,2022-02-25,,,True,not_freezed,21101071NaT,
55,100,,2110,107,3902345,IS0028165M,107B-800VU-COA-40,YP04,1,08/02/2022,25/02/2022,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702021,25/02/2022,20.71,4.0,prod,0.0,2,2022-02-25,,,True,not_freezed,21101072NaT,
56,24,,2110,107,3900151,IS0015667M,107A-DE-820-40,YP04,1,03/03/2022,09/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702022,09/03/2022,765.12,22.0,prod,1.0,1,2022-03-09,,,True,not_freezed,21101071NaT,
57,101,,2110,107,6008316,IS0028108M,107A-800VU-COA-40,YP04,1,04/03/2022,09/03/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702022,10/03/2022,20.71,4.0,prod,0.0,2,2022-03-09,,,True,not_freezed,21101072NaT,
58,162,,2110,177,6008370,IS0014648M,177A-915LR,YP04,1,07/03/2022,10/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702019,09/03/2022,123.493315543289,18.0,prod,0.0,3,2022-03-10,,,True,not_freezed,21101773NaT,
59,163,,2110,177,6016024,IS0014648M,177A-915LR,YP04,1,21/03/2022,24/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702020,28/03/2022,123.493315543289,18.0,prod,0.0,3,2022-03-24,,,True,not_freezed,21101773NaT,
60,25,,2110,107,6008342,IS0015667M,107A-DE-820-40,YP04,1,07/03/2022,28/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702023,22/03/2022,765.12,22.0,prod,1.0,1,2022-03-28,,,True,not_freezed,21101071NaT,
61,102,,2110,107,6013025,IS0028108M,107A-800VU-COA-40,YP04,1,11/03/2022,28/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702023,22/03/2022,20.71,4.0,prod,0.0,2,2022-03-28,,,True,not_freezed,21101072NaT,
62,164,,2110,177,6023522,IS0014648M,177A-915LR,YP04,1,01/04/2022,05/04/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702021,04/04/2022,123.493315543289,18.0,prod,0.0,3,2022-04-05,,,True,not_freezed,21101773NaT,
63,165,,2110,177,6033309,IS0014648M,177A-915LR,YP04,1,12/04/2022,13/04/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702022,14/04/2022,123.493315543289,18.0,prod,0.0,3,2022-04-13,,,True,not_freezed,21101773NaT,
64,103,,2110,107,6023495,IS0028165M,107B-800VU-COA-40,YP04,1,12/04/2022,19/04/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702024,14/04/2022,20.71,4.0,prod,0.0,2,2022-04-19,,,True,not_freezed,21101072NaT,
65,26,,2110,107,6012939,IS0015730M,107B-DE-820-40,YP04,1,29/03/2022,19/04/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702024,14/04/2022,765.12,22.0,prod,0.0,1,2022-04-19,,,True,not_freezed,21101071NaT,
66,166,,2110,177,6037974,IS0014648M,177A-915LR,YP04,1,02/05/2022,02/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702023,28/04/2022,123.493315543289,18.0,prod,0.0,3,2022-05-02,,,True,not_freezed,21101773NaT,
67,27,,2110,107,6023493,IS0015730M,107B-DE-820-40,YP04,1,25/04/2022,06/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702025,28/04/2022,765.12,22.0,prod,0.0,1,2022-05-06,,,True,not_freezed,21101071NaT,
68,104,,2110,107,6024172,IS0028165M,107B-800VU-COA-40,YP04,1,06/05/2022,06/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702025,28/04/2022,20.71,4.0,prod,0.0,2,2022-05-06,,,True,not_freezed,21101072NaT,
69,105,,2110,107,6029658,IS0028165M,107B-800VU-COA-40,YP04,1,16/05/2022,17/05/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702026,17/05/2022,20.71,4.0,prod,0.0,2,2022-05-17,,,True,not_freezed,21101072NaT,
70,167,,2110,177,6037975,IS0014648M,177A-915LR,YP04,1,23/05/2022,23/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702024,23/05/2022,123.493315543289,18.0,prod,0.0,3,2022-05-23,,,True,not_freezed,21101773NaT,
71,28,,2110,107,6024117,IS0015730M,107B-DE-820-40,YP04,1,09/05/2022,27/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702026,17/05/2022,765.12,22.0,prod,0.0,1,2022-05-27,,,True,not_freezed,21101071NaT,
72,168,,2110,177,6051612,IS0014648M,177A-915LR,YP04,1,30/05/2022,30/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702025,26/05/2022,123.493315543289,18.0,prod,0.0,3,2022-05-30,,,True,not_freezed,21101773NaT,
