,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,smoothing_end_date,version,shared,product_id,planning_approval_id
15,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3801923,IS0023355M,105A-93VU,YP04,1,2021-08-18,2021-08-20,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510732,2021-08-23,2.0,2.0,2,2.0,1,2021-08-20,,,True,,9,False,25,178
16,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3801894,IS0023355M,105A-93VU,YP04,1,2021-08-03,2021-08-20,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510746,2021-08-27,2.0,2.0,2,2.0,1,2021-08-20,,,True,,9,False,25,178
17,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3801895,IS0023355M,105A-93VU,YP04,1,2021-08-19,2021-09-07,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510784,2021-08-31,2.0,2.0,2,2.0,1,2021-09-07,,,True,,9,False,25,178
18,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3801891,IS0023355M,105A-93VU,YP04,1,2021-08-19,2021-09-07,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510703,2021-08-31,2.0,2.0,2,2.0,1,2021-09-07,,,True,,9,False,25,178
19,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3789676,IS0023355M,105A-93VU,YP04,1,2021-08-19,2021-09-07,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510796,2021-09-03,2.0,2.0,2,2.0,1,2021-09-07,,,True,,9,False,25,178
20,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3789682,IS0023355M,105A-93VU,YP04,1,2021-08-19,2021-09-07,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510467,2021-09-03,2.0,2.0,2,2.0,1,2021-09-07,,,True,,9,False,25,178
21,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3801893,IS0023355M,105A-93VU,YP04,1,2021-08-19,2021-09-07,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510739,2021-08-31,2.0,2.0,2,2.0,1,2021-09-07,,,True,,9,False,25,178
22,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3801877,IS0023355M,105A-93VU,YP04,1,2021-08-19,2021-09-07,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510778,2021-09-03,2.0,2.0,2,2.0,1,2021-09-07,,,True,,9,False,25,178
23,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3803345,IS0023355M,105A-93VU,YP04,1,2021-08-19,2021-09-07,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510750,2021-09-08,2.0,2.0,2,2.0,1,2021-09-07,,,True,,9,False,25,178
24,2023-02-16 14:58:02.175739,2023-02-16 14:58:02.175739,Marwa,Marwa,False,,2023-02-16 14:58:02.176739,2023-02-16 14:58:02.176739,,2110,105,3806307,IS0023355M,105A-93VU,YP04,1,2021-08-19,2021-09-07,None,,,TCLO IMPR CONF LIVR CCRP ARCO CAPC MMEf*,A310510751,2021-09-08,2.0,2.0,2,2.0,1,2021-09-07,,,True,,9,False,25,178
