,date_production_year_week,id,monday_date_production_year_week,date_demand_prod_id,week-1,production_plan_year_week-1,plan_date_id,logistic_stock_week_count
2,2023-W1,8,2023-01-02,14,0,2023-W0,0.0,-6.0
13,2023-W2,7,2023-01-09,8,1,2023-W1,0.0,-1.0
