,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id,shared,work_day_week,work_day_month,work_day_year,work_year_week,work_year_month
19,2119412,2023-01-06 14:32:32.808575,2023-01-06 14:32:32.808575,Marwa,Marwa,False,,2023-01-06 14:32:32.808575,2023-01-06 14:32:32.808575,Marwa,15,105,2023-01-20,1,10.72,4441,officiel,25,19,170,False,3,1,2023,2023-W3,2023-M1
20,2119413,2023-01-06 14:33:23.483119,2023-01-06 14:33:23.483119,Marwa,Marwa,False,,2023-01-06 14:33:23.483119,2023-01-06 14:33:23.483119,Marwa,15,105,2023-01-23,1,10.72,4442,officiel,25,19,170,False,4,1,2023,2023-W4,2023-M1
21,2119414,2023-01-06 14:33:23.508255,2023-01-06 14:33:23.508255,Marwa,Marwa,False,,2023-01-06 14:33:23.508255,2023-01-06 14:33:23.508255,Marwa,15,105,2023-01-24,1,10.72,4443,officiel,25,19,170,False,4,1,2023,2023-W4,2023-M1
22,2119415,2023-01-06 14:33:23.528373,2023-01-06 14:33:23.528373,Marwa,Marwa,False,,2023-01-06 14:33:23.528373,2023-01-06 14:33:23.528373,Marwa,15,105,2023-01-25,1,10.72,4444,officiel,25,19,170,False,4,1,2023,2023-W4,2023-M1
23,2119416,2023-01-06 14:33:23.568351,2023-01-06 14:33:23.568351,Marwa,Marwa,False,,2023-01-06 14:33:23.568351,2023-01-06 14:33:23.568351,Marwa,15,105,2023-01-26,1,10.72,4445,officiel,25,19,170,False,4,1,2023,2023-W4,2023-M1
24,2119417,2023-01-06 14:33:23.588139,2023-01-06 14:33:23.588139,Marwa,Marwa,False,,2023-01-06 14:33:23.588139,2023-01-06 14:33:23.588139,Marwa,15,105,2023-01-27,1,10.72,4446,officiel,25,19,170,False,4,1,2023,2023-W4,2023-M1
25,2119418,2023-01-06 15:59:41.975861,2023-01-06 15:59:41.975861,Marwa,Marwa,False,,2023-01-06 15:59:41.975861,2023-01-06 15:59:41.975861,Marwa,15,105,2023-02-13,1,10.72,4688,officiel,25,19,170,False,7,2,2023,2023-W7,2023-M2
26,2119419,2023-01-06 14:34:20.717781,2023-01-06 15:50:43.822092,Marwa,Marwa,False,,2023-01-06 14:34:20.717781,2023-01-06 15:50:43.822092,Marwa,15,105,2023-01-31,1,10.72,4448,officiel,25,19,170,False,5,1,2023,2023-W5,2023-M1
27,2119420,2023-01-06 14:35:11.787822,2023-01-06 14:35:11.787822,Marwa,Marwa,False,,2023-01-06 14:35:11.787822,2023-01-06 14:35:11.787822,Marwa,15,105,2023-02-01,1,10.72,4449,officiel,25,19,170,False,5,2,2023,2023-W5,2023-M2
28,2119421,2023-01-06 14:35:11.817855,2023-01-06 14:35:11.817855,Marwa,Marwa,False,,2023-01-06 14:35:11.817855,2023-01-06 14:35:11.817855,Marwa,15,105,2023-02-02,1,10.72,4450,officiel,25,19,170,False,5,2,2023,2023-W5,2023-M2
29,2119422,2023-01-06 14:35:11.847631,2023-01-06 14:35:11.847631,Marwa,Marwa,False,,2023-01-06 14:35:11.847631,2023-01-06 14:35:11.847631,Marwa,15,105,2023-02-03,1,10.72,4451,officiel,25,19,170,False,5,2,2023,2023-W5,2023-M2
30,2119423,2023-01-06 14:36:17.457617,2023-01-06 14:36:17.457617,Marwa,Marwa,False,,2023-01-06 14:36:17.457617,2023-01-06 14:36:17.457617,Marwa,15,105,2023-02-06,1,10.72,4452,officiel,25,19,170,False,6,2,2023,2023-W6,2023-M2
31,2119424,2023-01-06 14:36:17.487522,2023-01-06 14:36:17.487522,Marwa,Marwa,False,,2023-01-06 14:36:17.487522,2023-01-06 14:36:17.487522,Marwa,15,105,2023-02-07,1,10.72,4453,officiel,25,19,170,False,6,2,2023,2023-W6,2023-M2
32,2119425,2023-01-06 14:36:17.517584,2023-01-06 14:36:17.517584,Marwa,Marwa,False,,2023-01-06 14:36:17.517584,2023-01-06 14:36:17.517584,Marwa,15,105,2023-02-08,1,10.72,4454,officiel,25,19,170,False,6,2,2023,2023-W6,2023-M2
33,2119426,2023-01-06 14:36:17.537453,2023-01-06 14:36:17.537453,Marwa,Marwa,False,,2023-01-06 14:36:17.537453,2023-01-06 14:36:17.537453,Marwa,15,105,2023-02-09,1,10.72,4455,officiel,25,19,170,False,6,2,2023,2023-W6,2023-M2
34,2119427,2023-01-06 14:36:17.567838,2023-01-06 14:36:17.567838,Marwa,Marwa,False,,2023-01-06 14:36:17.567838,2023-01-06 14:36:17.567838,Marwa,15,105,2023-02-10,1,10.72,4456,officiel,25,19,170,False,6,2,2023,2023-W6,2023-M2
