,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
27,6128,2022-09-27 23:08:54.831344,2022-12-05 08:49:58.614439,Marwa,Marwa,False,,2022-09-27 23:08:54.831344,2022-12-05 08:49:58.614439,Marwa,9,105,2022-11-25,1,11.2,3600,officiel,16,,
28,6009,2022-09-27 22:00:12.900889,2022-12-12 15:30:00.811876,Marwa,Marwa,False,,2022-09-27 22:00:12.900889,2022-12-12 15:30:00.811876,Marwa,9,105,2022-08-29,1,10.4,3479,officiel,16,,
29,6010,2022-09-27 22:00:12.916889,2022-12-12 15:30:00.822233,Marwa,Marwa,False,,2022-09-27 22:00:12.916889,2022-12-12 15:30:00.822233,Marwa,9,105,2022-08-30,1,10.4,3480,officiel,16,,
30,6011,2022-09-27 22:00:12.940827,2022-12-12 15:30:00.832021,Marwa,Marwa,False,,2022-09-27 22:00:12.940827,2022-12-12 15:30:00.832021,Marwa,9,105,2022-08-31,1,10.4,3481,officiel,16,,
31,6130,2022-09-27 23:09:38.202855,2022-12-05 08:49:58.621441,Marwa,Marwa,False,,2022-09-27 23:09:38.202855,2022-12-05 08:49:58.621441,Marwa,9,105,2022-11-29,1,11.2,3602,officiel,16,,
32,6131,2022-09-27 23:09:38.218883,2022-12-05 08:49:58.623893,Marwa,Marwa,False,,2022-09-27 23:09:38.218883,2022-12-05 08:49:58.623893,Marwa,9,105,2022-11-30,1,11.2,3603,officiel,16,,
33,6012,2022-09-27 22:01:22.688524,2022-12-12 15:30:00.842221,Marwa,Marwa,False,,2022-09-27 22:01:22.688524,2022-12-12 15:30:00.842221,Marwa,9,105,2022-09-01,1,10.4,3482,officiel,16,,
34,6013,2022-09-27 22:01:22.712593,2022-12-12 15:30:00.842285,Marwa,Marwa,False,,2022-09-27 22:01:22.712593,2022-12-12 15:30:00.842285,Marwa,9,105,2022-09-02,1,10.4,3483,officiel,16,,
35,6098,2022-09-27 23:01:39.079766,2022-12-22 11:31:56.799139,Marwa,Marwa,False,,2022-09-27 23:01:39.079766,2022-12-22 11:31:56.799139,Marwa,9,105,2022-10-17,1,2.0,3568,officiel,16,,
36,6099,2022-09-27 23:01:39.103832,2022-12-22 11:31:56.805037,Marwa,Marwa,False,,2022-09-27 23:01:39.103832,2022-12-22 11:31:56.805037,Marwa,9,105,2022-10-18,1,2.0,3569,officiel,16,,
37,6100,2022-09-27 23:01:39.119780,2022-12-22 11:31:56.807752,Marwa,Marwa,False,,2022-09-27 23:01:39.119780,2022-12-22 11:31:56.807752,Marwa,9,105,2022-10-19,1,2.0,3570,officiel,16,,
38,6101,2022-09-27 23:01:39.143763,2022-12-22 11:31:56.810327,Marwa,Marwa,False,,2022-09-27 23:01:39.143763,2022-12-22 11:31:56.810327,Marwa,9,105,2022-10-20,1,2.0,3571,officiel,16,,
39,6102,2022-09-27 23:01:39.159811,2022-12-22 11:31:56.812329,Marwa,Marwa,False,,2022-09-27 23:01:39.159811,2022-12-22 11:31:56.812329,Marwa,9,105,2022-10-21,1,2.0,3572,officiel,16,,
40,6132,2022-09-27 23:10:08.530453,2022-12-05 08:49:58.626612,Marwa,Marwa,False,,2022-09-27 23:10:08.530453,2022-12-05 08:49:58.626612,Marwa,9,105,2022-12-01,1,11.2,3604,officiel,16,,
